Target,count_hgnc_symbol_target,BLCATargetCount,BRCATargetCount,CESCTargetCount,COADTargetCount,ESCATargetCount,HNSCTargetCount,KICHTargetCount,KIRCTargetCount,KIRPTargetCount,LGGTargetCount,LIHCTargetCount,LUADTargetCount,LUSCTargetCount,PAADTargetCount,PCPGTargetCount,PRADTargetCount,SARCTargetCount,STADTargetCount,TGCTTargetCount,THCATargetCount,THYMTargetCount,UCECTargetCount
DNPH1,9,,,,,,,,,,9,,,,,,,,,,,,
KATNIP,1,,,,,,,,,,1,,,,,,,,,,,,
KRT5,1,,,,,,,,,,,,,,,,,,,,1,,
NFIL3,6,,,,,,,,,,6,,,,,,,,,,,,
CIP2A,8,,,,,,,,,,8,,,,,,,,,,,,
FYN,2,,,,,,,,,,,,,,,,,,1,1,,,
HSPA8,1,,,,,,,,,,,,,,,,,,,,1,,
PTCH1,3,1,1,,,,1,,,,,,,,,,,,,,,,
ADAMTSL3,1,,1,,,,,,,,,,,,,,,,,,,,
STK11,1,,,,,,,,,,1,,,,,,,,,,,,
PARD3B,4,,,,,,,,,,1,,,,,,,3,,,,,
HSPA4,1,,,,,,,,,,,,1,,,,,,,,,,
CITED2,1,,,,,,,,,,,,,,,,,1,,,,,
SRCAP,2,,,,,,,,,,,,,,,,,2,,,,,
GCN1,3,,,,,,,,,,,,,,,,,3,,,,,
NDST1,5,,,,,,,,,,,,,,,,,,4,1,,,
UBXN2A,2,,,,,,,,,,,,,,,,,,2,,,,
DNTT,1,,,,,,,,,,,,,,,,,,,,,1,
SPAST,1,,,,,,,,,,,,,,,,,,,,,1,
RPL27A,2,,1,,,,,,,,,,,,,,,1,,,,,
MSN,2,,,,,,,,,,1,,,,,,,1,,,,,
ST3GAL2,5,,,,,,,,,,5,,,,,,,,,,,,
MAN1A2,2,,,,,,,,,,,,,,,,1,,1,,,,
JADE2,1,,,,,,,,,,,,,,,,,1,,,,,
NFATC2,3,,,,,,,,,,,,,,,,,,1,2,,,
PKP3,3,,1,,,,,,,,1,,,,,,,,1,,,,
CD69,3,,,,,,,,,,3,,,,,,,,,,,,
LRBA,2,,,,,,,,,,1,,,,,,,1,,,,,
PRKCE,3,,,,,,,,,,,,1,,,,,1,1,,,,
SULT2B1,3,1,1,,,,,,,,1,,,,,,,,,,,,
CRYZ,1,,1,,,,,,,,,,,,,,,,,,,,
SKP2,4,,,,,,,,,,4,,,,,,,,,,,,
TACC3,3,,,,,,,,,,3,,,,,,,,,,,,
KIF2C,16,,,,,,,,,,16,,,,,,,,,,,,
UBE2C,8,,,,,,,,,,8,,,,,,,,,,,,
ARFGAP2,2,,,,,,,,,,2,,,,,,,,,,,,
RIN2,7,,,,,,,,,,,,,,,,,,7,,,,
CLIC5,3,2,,,,,,,,,,,,1,,,,,,,,,
HSD11B2,4,,2,,,,1,,,,,,,,,,,,,1,,,
SP3,4,,2,,,,,,,,1,,,,,,,,,1,,,
EHD1,6,,1,,,,,,,,,,,,,,,,,5,,,
CRB2,1,,,,,,1,,,,,,,,,,,,,,,,
CLDN7,1,,,,,,,,,,1,,,,,,,,,,,,
RBM8A,1,,,,,,,,,,1,,,,,,,,,,,,
DOCK10,2,,,,,,,,,,,,,,,,,,,2,,,
WDR86,1,,,,,,,,,,,,,,,,,,,1,,,
NFIC,1,1,,,,,,,,,,,,,,,,,,,,,
TMEM131,5,2,,,,,,,,,2,,1,,,,,,,,,,
LTA4H,4,,,,,,,,,,4,,,,,,,,,,,,
TBC1D31,2,,,,,,,,,,2,,,,,,,,,,,,
ANXA4,2,,,,,,,,,,,,,,,,,,2,,,,
AXIN2,3,,,,,,,,,,,,,,,,,,3,,,,
HNF4A,4,4,,,,,,,,,,,,,,,,,,,,,
TOP1,1,,,,,,,,,,1,,,,,,,,,,,,
TAC3,4,,,,,,,,,,,,,,,,,3,1,,,,
BGLAP,25,12,2,,,,1,,,,1,1,,,,,,,,8,,,
CSF2,2,1,,,,,,,,,,,1,,,,,,,,,,
NRP2,9,,,,,,,,,,9,,,,,,,,,,,,
ZNF804B,5,,,,,,,,,,5,,,,,,,,,,,,
SLC2A4,2,,,,,,,,,,,,,,,,,2,,,,,
IL2RA,10,,,,,,,,,,,,,,,,,,1,1,,8,
EFR3A,21,,,,,,,,,,,,,,,,,,21,,,,
ZNF385D,1,,,,,,,,,,,,,,,,,,,,1,,
KCNMA1,1,,,,,,,,,,,,,,,,,,,,,1,
FOXM1,14,1,,,,,,,,,11,,,,,,1,,,,1,,
HOXB7,1,1,,,,,,,,,,,,,,,,,,,,,
CD24,1,,1,,,,,,,,,,,,,,,,,,,,
DMD,2,,,,,,2,,,,,,,,,,,,,,,,
ARSB,9,,,,,,,,,,9,,,,,,,,,,,,
CD99,2,,,,,,,,,,2,,,,,,,,,,,,
SLC19A1,3,,,,,,,,,,1,,,,,1,,,,1,,,
HS6ST1,1,,,,,,,,,,,,,,,1,,,,,,,
CD40,4,2,,,,,,,,,,,,1,,,,1,,,,,
CDKN2B,7,,,,,,,,,,2,,,,,,,5,,,,,
UGDH,1,,,,,,,,,,1,,,,,,,,,,,,
CD2AP,2,,,,,,,,,,2,,,,,,,,,,,,
TEX2,1,,,,,,,,,,,,1,,,,,,,,,,
AMPD2,1,,,,,,,,,,,,,,,,,,,1,,,
SELENOP,1,,,,,,,,,,,,,,,,,,,,,,1
CD19,1,1,,,,,,,,,,,,,,,,,,,,,
PDE4B,4,1,,,,,,,,,,,,,,,,,3,,,,
CERS2,4,3,,,,,,,,,1,,,,,,,,,,,,
UGT1A6,2,2,,,,,,,,,,,,,,,,,,,,,
GBE1,2,,,,,,,,,,2,,,,,,,,,,,,
NOX4,5,,,,,,,,,,5,,,,,,,,,,,,
CDKL5,1,,,,,,,,,,,,,,,,1,,,,,,
PRKCA,1,,,,,,,,,,,,,,,,,,1,,,,
ACOT7,1,,,,,,,,,,,,,,,,,,1,,,,
MNDA,1,,,,,,,,,,1,,,,,,,,,,,,
RPS16,7,,,,,,,,,,7,,,,,,,,,,,,
HEY2,1,,,,,,,,,,1,,,,,,,,,,,,
FAM193B,2,,,,,,,,,,,,,,,,,,2,,,,
P2RX6,2,,,,,,,,,,,,,,,,,,,,,2,
QSOX1,1,1,,,,,,,,,,,,,,,,,,,,,
RASGRP3,2,2,,,,,,,,,,,,,,,,,,,,,
GUCY1B1,1,1,,,,,,,,,,,,,,,,,,,,,
SLIT1,1,,,,,,,,,,1,,,,,,,,,,,,
SLC4A7,12,,,,,,,,,,7,,,,,,,,3,,,2,
SLC9A2,1,,,,,,,,,,,,,,1,,,,,,,,
CBFA2T3,1,,,,,,,,,,,,,,,,,1,,,,,
MICAL2,10,,,,,,,,,,,,,,,,,1,,9,,,
AHNAK,9,,,,,,,,,,,,,,,,,9,,,,,
MYO18A,1,,,,,,,,,,,,,,,,,,,,,1,
CUX1,4,3,,,,,,,,,,,,,,,,,,1,,,
ZNF608,12,7,,,,,,,,,1,,,,,,1,,2,1,,,
ETS1,15,1,,,,,,,,,8,,,,,,,,,2,4,,
MAT2A,2,,,,,,,,,,1,,,,,,,,,,,1,
MCM6,20,,,,,,,,,,15,,,,,,,,,3,,2,
HELZ,3,,,,,,,,,,2,,,,,,,,,,,1,
MRPS10,1,,,,,,,,,,,,,,,,,1,,,,,
SOX4,3,,,,,,,,,,,,,,,,,,,,,3,
ZFAND6,2,,,,,,,,,,2,,,,,,,,,,,,
KRIT1,1,,,,,,,,,,,,,,,,,1,,,,,
FBXL19,1,,,,,,,,,,,,,,,,,,,1,,,
NPM1,2,1,,,,,,,,,,,,,,,,,,1,,,
IL6,14,6,,,1,,,,,,1,,,1,,,1,2,1,,,,1
GRHL2,3,,,,,,1,,,,2,,,,,,,,,,,,
PRKDC,6,,,,,,,,,,6,,,,,,,,,,,,
RUNX2,1,,,,,,,,,,,,,,,,,,1,,,,
TTYH3,3,,,,,,,,,,,,,,,,,,3,,,,
MBNL2,1,,,,,,,,,,,,,,,,,,,,1,,
KAT2B,1,1,,,,,,,,,,,,,,,,,,,,,
LRP5,3,3,,,,,,,,,,,,,,,,,,,,,
LAD1,2,2,,,,,,,,,,,,,,,,,,,,,
ATM,3,,,,,,,,,,1,,1,,,,,1,,,,,
FKBP5,2,,,,,,,,,,1,,,,,,,1,,,,,
ICAM1,12,,,,,,,,,,5,,,,,,,,,7,,,
USP7,2,,,,,,,,,,2,,,,,,,,,,,,
ZCCHC2,1,,,,,,,,,,1,,,,,,,,,,,,
DGCR8,2,,,,,,,,,,,,,,,,,2,,,,,
KBTBD8,7,1,,,,,,,,,,,,,,,,,,,,6,
PNRC1,7,,,,1,,,,,,,1,,1,,,,4,,,,,
HIPK1,2,,,,,,,,,1,,,,,,,,1,,,,,
FGF2,4,,,,,,,,,,4,,,,,,,,,,,,
GINS1,1,,,,,,,,,,1,,,,,,,,,,,,
CLP1,19,,,,,,,,,,19,,,,,,,,,,,,
ANO6,10,,,,,,,,,,,,,,,,,10,,,,,
VOPP1,4,,,,,,,,,,,,,,,,,,,,,4,
CDKN1A,17,,1,,,,,,,,9,,,1,,,,4,2,,,,
SNRPB2,4,,,,,,,,,,3,,,,,,,,,1,,,
JADE1,7,,,,,,,,,,,,,,,,,,7,,,,
IPCEF1,20,4,,,1,,,,,,,,,,,,,14,1,,,,
INPP4B,1,,,,1,,,,,,,,,,,,,,,,,,
SPP1,3,,,,,,,,,,3,,,,,,,,,,,,
AURKB,1,,,,,,,,,,1,,,,,,,,,,,,
MMP13,7,1,4,,2,,,,,,,,,,,,,,,,,,
SLC25A10,4,1,,,,,,,,,1,,1,,,,,,,,,,1
FOXJ3,1,,1,,,,,,,,,,,,,,,,,,,,
AFF1,1,,,,1,,,,,,,,,,,,,,,,,,
CASP3,8,,,,,,,,,,8,,,,,,,,,,,,
PPFIBP2,1,,,,,,,,,,1,,,,,,,,,,,,
FAM178B,2,,,,,,,,,,2,,,,,,,,,,,,
PARD3,3,,,,,,,,,,,,,,,,,,3,,,,
EGFR,15,5,,,1,,,,,,,,,,,,,2,6,,,,1
AZI2,3,1,,,,,,,,,1,,,,,,,,,1,,,
CRYBG1,1,,1,,,,,,,,,,,,,,,,,,,,
RPL27,3,,1,,,,,,,,2,,,,,,,,,,,,
RRM2B,3,,2,,,,,,,,,,,,,,,1,,,,,
LIF,1,,,,,,,,,,1,,,,,,,,,,,,
NR5A2,8,8,,,,,,,,,,,,,,,,,,,,,
SPIDR,6,2,1,,,,,,,,3,,,,,,,,,,,,
ATF2,2,,2,,,,,,,,,,,,,,,,,,,,
IKZF3,1,,,,1,,,,,,,,,,,,,,,,,,
H2AZ1,5,,,,,,,,,,5,,,,,,,,,,,,
PPP2R1A,1,,,,,,,,,,,,,,,,,1,,,,,
ARL2,1,,,,,,,,,,,,,,,,,,1,,,,
PER3,7,,,,,,,,,,,,,,,,,,,7,,,
SND1,11,,1,,,,,,,,,,,,,,,1,9,,,,
DAPK1,1,,,,,,1,,,,,,,,,,,,,,,,
RPL19,2,,,,,,1,,,,1,,,,,,,,,,,,
SELENOI,1,,,,,,1,,,,,,,,,,,,,,,,
PCYT1A,4,,,,,,,,,,1,,,,,,1,,2,,,,
COL1A1,4,,,,,,,,,,,,1,,,,,,1,,,2,
IRS2,1,,,,,,,,,,,,,,,,,1,,,,,
CREB5,2,,,,,,,,,,,,,,,,,2,,,,,
HIVEP3,1,,,,,,,,,,,,,,,,,,,1,,,
SMAD4,15,2,,,,,,,,,,,,,,,,,13,,,,
CCT6B,3,,1,,,,,,,,,,,,,,,,,2,,,
SNX8,2,,1,,,,,,,,1,,,,,,,,,,,,
CDC25C,74,,,,,,,,,,74,,,,,,,,,,,,
PQBP1,1,,,,,,,,,,1,,,,,,,,,,,,
ARAP1,7,,,,,,,,,,3,,,,,,,1,3,,,,
ESYT2,1,,,,,,,,,,,,,,,,1,,,,,,
STIM2,4,,,,,,,,,,,,,,,,,4,,,,,
LYN,2,,,,,,,,,,,,,,,,,,,2,,,
GSTK1,1,,,,,,,,,,,,,,,,,,,1,,,
FOXN3,1,,1,,,,,,,,,,,,,,,,,,,,
NAMPT,22,,,,,,1,,,,21,,,,,,,,,,,,
SPN,5,,,,,,,,,,5,,,,,,,,,,,,
VEGFA,38,,,,,,,,,,38,,,,,,,,,,,,
RAD54L,1,,,,,,,,,,1,,,,,,,,,,,,
WDR36,2,,,,,,,,,,2,,,,,,,,,,,,
TENT4A,1,,,,,,,,,,,,,,,,,1,,,,,
MACF1,1,1,,,,,,,,,,,,,,,,,,,,,
BMP6,1,1,,,,,,,,,,,,,,,,,,,,,
GALNT2,2,1,,,,,,,,,,,,,,,,,,1,,,
RPS19,2,,1,,,,,,,,1,,,,,,,,,,,,
ZMYND8,4,,,,,,,,,1,,,,,,,1,2,,,,,
TMEM104,3,,,,,,,,,,3,,,,,,,,,,,,
GPR156,1,,,,,,,,,,1,,,,,,,,,,,,
CAPN2,2,,,,,,,,,,,,,,,,,2,,,,,
IGF1R,1,,,,,,,,,,,,,,,,,1,,,,,
ATP11A,1,,,,,,,,,,,,,,,,,,1,,,,
PREX1,1,,,,1,,,,,,,,,,,,,,,,,,
NOS2,11,,,,,,,,,,3,,,,,,2,,,,,6,
CPT1A,1,,,,,,,,,,,,,,,,,,,1,,,
PML,1,,,,,,,,,,,,,,,,,,,1,,,
HIBADH,1,,,,,,,,,,,,,,,,,,,1,,,
MAP4K5,2,2,,,,,,,,,,,,,,,,,,,,,
ARID5B,8,,,,,,,,,,1,,1,,,,,,5,1,,,
TMPO,1,,,,,,,,,,,,,,,,,1,,,,,
ACTR3,1,,,,,,,,,,,,,,,,,,1,,,,
MGAT5B,3,2,,,,,,,,,,,,,,,,1,,,,,
LRRK1,3,1,,,,,,,,,,,,,,,,,2,,,,
FHAD1,4,3,,,,,,,,,,,,,,,,,,1,,,
NR1H3,1,,1,,,,,,,,,,,,,,,,,,,,
NID2,1,,,,,,,,,,,,1,,,,,,,,,,
MED1,2,,,,,,,,,,,,,,,,,2,,,,,
CASP7,1,1,,,,,,,,,,,,,,,,,,,,,
DFFA,3,,,,,,,,,,2,,,,,,,,,1,,,
MAD2L1,1,,,,,,,,,,1,,,,,,,,,,,,
APH1A,10,,,,,,,,,,1,,,,,,,,,,,9,
EYA2,1,,,,,,,,,,,,,,,,,1,,,,,
CRIM1,1,,,,,,,,,,,,,,,,,1,,,,,
SPON2,1,,,,,,,,,,,,,,,,,,,1,,,
DPYSL2,1,1,,,,,,,,,,,,,,,,,,,,,
MMP1,1,1,,,,,,,,,,,,,,,,,,,,,
RNLS,10,4,1,,,,,,,,,,,,,,,,,,,5,
SERINC5,1,,1,,,,,,,,,,,,,,,,,,,,
B4GALT1,6,,,,,,,,,1,5,,,,,,,,,,,,
H4C14,33,,,,,,,,,,32,,,,,,,,,1,,,
CNOT1,5,,,,,,,,,,4,,,,,,,1,,,,,
EPB41L2,2,,,,,,,,,,,,,,,,,,2,,,,
FBXL5,2,,,,,,,,,,,,,,,,,,2,,,,
ATF3,18,14,,,,,,,,,,,,,,,,3,,,1,,
FOXO3,2,2,,,,,,,,,,,,,,,,,,,,,
PHLPP1,1,,1,,,,,,,,,,,,,,,,,,,,
SOCS1,3,,,,,,,,,,2,,,,,,,,1,,,,
IRF2BP1,6,,,,,,,,,,6,,,,,,,,,,,,
PSMB9,1,,,,,,,,,,,,,,,,,1,,,,,
NCOA7,5,2,,,,,,,,,,,,,,,,3,,,,,
KIT,2,2,,,,,,,,,,,,,,,,,,,,,
AHR,1,,,,,,,,,1,,,,,,,,,,,,,
F13A1,1,,,,,,,,,,1,,,,,,,,,,,,
KTN1,1,,,,,,,,,,1,,,,,,,,,,,,
TNIP1,10,,,,,,,,,,,,,,,,,,,10,,,
SCP2,1,,1,,,,,,,,,,,,,,,,,,,,
TGFB2,2,,,1,,,,,,,,,,,,,,1,,,,,
CDH2,1,,,,,,,,,,1,,,,,,,,,,,,
MYL5,1,,,,,,,,,,1,,,,,,,,,,,,
MAD1L1,29,,,,,,,,,,1,,,,,,,1,27,,,,
RERE,6,,,,,,,,,,,,,,,,,4,2,,,,
PTPRO,1,,,,,,,,,,,,,,,,,1,,,,,
SERTAD2,8,8,,,,,,,,,,,,,,,,,,,,,
KCTD20,2,1,,,,,,,,,1,,,,,,,,,,,,
LPL,5,,,,,,,,,,5,,,,,,,,,,,,
CXCL2,1,,,,,,,,,,,,,,,,,,,1,,,
TXNDC11,3,3,,,,,,,,,,,,,,,,,,,,,
CYP27B1,1,1,,,,,,,,,,,,,,,,,,,,,
POLB,8,,,,,,,,,,6,,,,,,,2,,,,,
CCL4,1,,,,,,,,,,1,,,,,,,,,,,,
PMAIP1,6,1,,,,,,,,,,,,,,,,1,4,,,,
PRUNE2,5,,,,1,,,,,,4,,,,,,,,,,,,
TP53,2,,,,,,2,,,,,,,,,,,,,,,,
PTGS2,17,9,,,,,,,,,,1,,,,,,1,4,2,,,
CPSF2,4,1,,,,,,,,,1,,,,,,,2,,,,,
ACTC1,1,,,,,,,,,,,,,,,,,,1,,,,
MSLN,1,,,,,,,,,,,,,,,,,,,,,1,
PHACTR2,8,,,,,,,,,,,,,,,,,,8,,,,
FOXP1,8,4,,,,,,1,,,,,,,,,,1,,1,,,1
FBXW11,4,3,,,,,,,,,,,,1,,,,,,,,,
BTK,5,,,,,,,,,,5,,,,,,,,,,,,
CRAT,7,,,,,,,,,,7,,,,,,,,,,,,
TP73,6,,,,,,,,,,6,,,,,,,,,,,,
MSANTD3,5,,,,,,,,,,5,,,,,,,,,,,,
CDYL,9,,,,,,,,,,,,,,,,,,9,,,,
AMOTL2,1,,,,,,,,,,,,,,,,,,1,,,,
KRT16,1,,,,,,,,,,,,,,,,,,,,,1,
PLA2G4A,14,3,,,,,,,,,11,,,,,,,,,,,,
MYD88,3,,,,,,,,,,1,,,1,,,,,,1,,,
MID1,1,,,,,,,,,,,,,,,,,1,,,,,
PTPN14,2,,,,,,,,,,,,,,,,,2,,,,,
HDAC9,19,,,,,,,,,,,,,,,,,14,5,,,,
LRCH1,1,,,,,,,,,,,,,,,,,1,,,,,
C3,4,,,,,,,,,,,,,,,,,,,3,,,1
SERPINB1,1,,,,,,,,,,1,,,,,,,,,,,,
DDX18,6,,,,,,,,,,5,,,,,,,,,,1,,
AGRN,2,,,,,,,,,,2,,,,,,,,,,,,
ARHGAP26,2,2,,,,,,,,,,,,,,,,,,,,,
TRIM63,6,6,,,,,,,,,,,,,,,,,,,,,
IL1B,18,,1,,,,,,,,2,,2,1,,,,,,9,2,1,
OSBPL9,3,,,,,,,,,,,,,,,,,2,,,,1,
PRICKLE2,7,,,,,,,,,,,,,,,,,7,,,,,
PHF12,6,,,,,,,,,,,,,,,,,,6,,,,
VEGFB,1,,,,,,,,,,,,,,,,,,,1,,,
GLRX,1,,,,,,,,,,,,,,,,,,,,,1,
CCN1,1,,,,,,,,,,,,,,,,,,,,,1,
MCL1,13,,,,,,,,,,11,,,,,,,,1,,,1,
NFIA,1,,,,,,,,,,1,,,,,,,,,,,,
IL23A,1,,,,,,,,,,1,,,,,,,,,,,,
NR2F2,2,,,,,,,,,,,,,,,,,2,,,,,
NUP214,3,,,,,,,,,,,,,,,,,3,,,,,
ASB1,2,,,,,,,,,,,,,,,,,,2,,,,
ATOSA,1,,,,,,,,,,,,,,,,,,1,,,,
RAB11FIP2,1,,,,,,,,,,,,,,,,,,,1,,,
SLC8A1,1,1,,,,,,,,,,,,,,,,,,,,,
ADRA1A,6,,4,,,,,,,,,,,,,,1,,1,,,,
RFX3,3,,,,,,1,,,,2,,,,,,,,,,,,
HLA-E,2,,,,,,,,,,1,1,,,,,,,,,,,
NAIP,6,,,,,,,,,,1,,,,,,,,5,,,,
SMAP2,1,,,,,,,,,,,,,,,,,,1,,,,
FHL2,1,,,,,,,,,,,,,,,,,,,,,1,
RAPGEF6,1,,,,,,,,,,,,,,,,,,,,,1,
MIF,13,,4,,,,,,,,,,,,,,,1,8,,,,
PRKAG2,3,,,,,,,,,,,,,,,,,,3,,,,
BRSK2,1,1,,,,,,,,,,,,,,,,,,,,,
NUP98,3,1,,,,,,,,,,,,,,,,,1,1,,,
TIAM2,2,,,,1,,1,,,,,,,,,,,,,,,,
EGR1,14,,,,,,1,,,,1,,,,,,,,,12,,,
GCM1,4,,,,,,,,,1,,,,,,,,,3,,,,
ITGB1,9,,,,,,,,,,5,,,,,,,3,,1,,,
ARHGAP6,2,,,,,,,,,,,,,,,,,2,,,,,
BNIP3,6,,,,,,,,,,,,,,,,,3,,,,3,
NQO1,1,,,,,,,,,,,,,,,,,,1,,,,
SORD,1,,,,,,,,,,,,,,,,,,,,,1,
ADM,1,,,,,,1,,,,,,,,,,,,,,,,
EHMT1,2,,,,,,1,,,,,,,,,,,1,,,,,
ADGRB1,1,,,,,,,,,,1,,,,,,,,,,,,
HSPB1,9,,,,,,,,,,1,,,,,,,5,3,,,,
TMPRSS2,3,,,,,,,,,,3,,,,,,,,,,,,
GSN,2,,,,,,,,,,,,,,,,,1,,1,,,
UNKL,1,,,,,,,,,,,,,,,,,1,,,,,
SH3BP2,1,,,,,,,,,,,,,,,,,,1,,,,
ZNF559,2,,,,,,,,,,,,,,,,,,2,,,,
FABP7,3,,,,,,,,,,,,,,,,,,,3,,,
FILIP1L,2,2,,,,,,,,,,,,,,,,,,,,,
MMP12,1,1,,,,,,,,,,,,,,,,,,,,,
ARID1B,7,,1,,,,,,,,1,,,,,,,1,,4,,,
SP1,1,,,,1,,,,,,,,,,,,,,,,,,
ACP3,2,,,,,,,,,,2,,,,,,,,,,,,
UBA52,5,,,,,,,,,,5,,,,,,,,,,,,
KLF11,5,,,,,,,,,,,,,,,,,5,,,,,
VMP1,1,,,,,,,,,,,,,,,,,1,,,,,
SORT1,1,,,,,,,,,,,,,,,,,,1,,,,
NLGN4X,2,,,,,,,,,,,,,,,,,,,,,2,
DKC1,4,,,1,,,,,,,3,,,,,,,,,,,,
RND3,1,,,,,,1,,,,,,,,,,,,,,,,
UBAC1,9,,,,,,,,,,9,,,,,,,,,,,,
RPS27L,6,,,,,,,,,,4,,,,,,,,,,,2,
CD40LG,1,,,,,,,,,,,,,,,,,1,,,,,
PTPRM,6,,,,,,,,,,,,,,,,,5,,1,,,
NECTIN2,1,,,,,,,,,,,,,,,,,,1,,,,
TBXA2R,1,,1,,,,,,,,,,,,,,,,,,,,
RETN,1,,,,,,1,,,,,,,,,,,,,,,,
SEPTIN10,3,2,,,,,,,,,1,,,,,,,,,,,,
PCBP1,1,,1,,,,,,,,,,,,,,,,,,,,
